Código de censo,Fecha,Censador,Acompañante 1,Acompañante 2,Piloto,Avioneta,Matrícula,Aeropuerto,Hora inicio,Hora fin,¿Track GPS?,Track,Foto,Visibilidad,Intensidad del viento,Dirección del viento,Condición atmosférica,Temperatura,¿Censo válido?,Observaciones
CA_20141023,2014-10-23,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:00:00,12:30:00,True,censos_aereos/tracks/CA_20141023.gpx,,,,,,,True,"
Notas de campo: 
1 A. adalberti ad. en los Sotos"
CA_20141121,2014-11-21,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),09:45:00,12:20:00,True,censos_aereos/tracks/CA_20141121.gpx,,,,,,,True,
CA_20141209,2014-12-09,Censador 6,R**** *********,B***** *******,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:00:00,12:00:00,True,censos_aereos/tracks/CA_20141209.gpx,,,,,,,True,"
Notas de campo: 
El Travieso vuelve a tener conexión con Entremuros y eso se nota tanto en Caracoles como en Las Nuevas (principalmente en el Lucio de los Ánsares y El Desierto) donde hay más agua que en zonas colindantes."
CA_20150112,2015-01-12,Censador 5,J*** **** ******,S***** ******,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:00:00,13:00:00,True,censos_aereos/tracks/CA_20150112.gpx,,,,,,,True,
CA_20150224,2015-02-24,Censador 5,J*** **** ******,F******** *****,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:30:00,13:00:00,True,censos_aereos/tracks/CA_20150224.gpx,,,,,,,True,
CA_20150325,2015-03-25,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:30:00,12:50:00,True,censos_aereos/tracks/CA_20150325.gpx,,,,,,,True,"Incidencias: 
Mucho viento durante el censo
Notas de campo: 
Azolla filliculoides en toda la vera de la RBD, en algunas zonas muy abundante.El censo de Veta la Palma ha sido subestimado debido a que muchas de las aves están ocultas refugiadas del fuerte viento, que además dificulta el vuelo del censo."
CA_20150410,2015-04-10,Censador 5,J*** ***** ***** ** *****,V****** ***********,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:15:00,13:00:00,,,,,,,,,True,
CA_20150512,2015-05-12,Censador 5,M***** *********,-,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),09:30:00,12:45:00,,,,,,,,,True,
CA_20150617,2015-06-17,Censador 5,J*** **** ******,R***** ******,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),09:50:00,12:50:00,True,censos_aereos/tracks/CA_20150617.gpx,,,,,,,True,
CA_20150729,2015-07-29,Censador 5,J*** **** ******,I*** ******* ****,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),09:30:00,12:30:00,True,censos_aereos/tracks/CA_20150729.gpx,,,,,,,True,
CA_20150923,2015-09-23,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,D-EVOC,Jerez (La Parra),10:00:00,12:30:00,True,censos_aereos/tracks/CA_20150923.gpx,,,,,,,True,
